//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=1000
SampleCnt=4543      
StartTime=2019/09/12 09:03:55
EndTime=2019/09/12 10:19:37
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2019/09/12,09:03:55,-0.0430,27.652,0.039,0.073,68.657,996.362,-3.637,0.31,0.31,0.15,94.38,7.353,8.06,
2019/09/12,09:03:56,-0.0645,27.487,0.039,0.073,68.839,996.409,-3.591,0.19,0.19,0.01,94.36,7.352,8.16,
2019/09/12,09:03:57,-0.0860,27.399,0.039,0.073,69.022,996.433,-3.566,0.12,0.12,0.03,94.41,7.356,8.22,
2019/09/12,09:03:58,-0.0860,27.423,0.039,0.073,68.990,996.427,-3.573,0.64,0.64,0.51,94.42,7.357,8.26,
2019/09/12,09:03:59,-0.0645,27.472,0.039,0.073,68.885,996.413,-3.587,0.63,0.63,0.55,94.49,7.363,8.24,
2019/09/12,09:04:00,-0.0645,27.480,0.039,0.073,68.867,996.411,-3.589,0.69,0.69,7.53,94.56,7.369,8.25,
2019/09/12,09:04:01,-0.0645,27.478,0.039,0.073,68.859,996.411,-3.588,0.63,0.63,0.82,94.57,7.370,8.31,
2019/09/12,09:04:02,-0.0860,27.440,0.039,0.073,68.862,996.422,-3.578,0.62,0.62,0.42,94.58,7.372,8.30,
2019/09/12,09:04:03,-0.0645,27.392,0.039,0.073,68.930,996.435,-3.564,0.63,0.63,0.61,94.56,7.371,8.29,
2019/09/12,09:04:04,-0.0645,27.463,0.039,0.073,68.890,996.416,-3.584,0.63,0.63,0.31,94.55,7.370,8.31,
2019/09/12,09:04:05,-0.0860,27.414,0.039,0.073,69.002,996.429,-3.571,0.60,0.60,0.46,94.57,7.371,8.31,
2019/09/12,09:04:06,-0.0860,27.399,0.039,0.073,69.003,996.433,-3.566,0.62,0.62,0.56,94.59,7.372,8.29,
2019/09/12,09:04:07,-0.0645,27.360,0.039,0.073,69.092,996.444,-3.556,0.61,0.61,0.56,94.55,7.370,8.30,
2019/09/12,09:04:08,-0.0860,27.319,0.039,0.073,69.179,996.456,-3.544,0.61,0.61,0.51,94.51,7.366,8.29,
2019/09/12,09:04:09,-0.0645,27.263,0.039,0.073,69.270,996.471,-3.529,0.66,0.66,0.56,94.61,7.374,8.29,
2019/09/12,09:04:10,-0.0860,27.294,0.039,0.073,69.237,996.463,-3.537,0.35,0.35,-0.36,94.59,7.373,8.29,
2019/09/12,09:04:11,-0.0860,27.291,0.039,0.073,69.287,996.463,-3.536,0.66,0.66,0.44,94.46,7.363,8.31,
2019/09/12,09:04:12,-0.0860,27.308,0.039,0.073,69.210,996.459,-3.541,0.63,0.63,0.53,94.48,7.365,8.31,
2019/09/12,09:04:13,-0.0645,27.431,0.039,0.073,69.059,996.424,-3.575,0.64,0.64,0.56,94.48,7.364,8.30,
2019/09/12,09:04:14,-0.0645,27.501,0.039,0.073,68.909,996.405,-3.595,0.61,0.61,0.45,94.47,7.363,8.31,
2019/09/12,09:04:15,-0.0860,27.463,0.039,0.073,69.054,996.415,-3.584,0.63,0.63,0.51,94.52,7.368,8.30,
2019/09/12,09:04:16,-0.0645,27.453,0.039,0.073,68.992,996.418,-3.582,0.62,0.62,0.49,94.49,7.366,8.31,
2019/09/12,09:04:17,-0.0645,27.474,0.039,0.073,68.908,996.412,-3.587,0.62,0.62,0.49,94.51,7.367,8.31,
2019/09/12,09:04:18,-0.0645,27.486,0.039,0.073,68.834,996.409,-3.591,0.64,0.64,0.55,94.48,7.365,8.31,
2019/09/12,09:04:19,-0.0645,27.572,0.039,0.073,68.822,996.385,-3.615,0.63,0.63,0.59,94.59,7.375,8.31,
2019/09/12,09:04:20,-0.0645,27.628,0.039,0.073,68.722,996.369,-3.631,0.63,0.63,0.53,94.47,7.365,8.31,
2019/09/12,09:04:21,-0.0645,27.636,0.039,0.073,68.794,996.367,-3.633,0.63,0.63,0.51,94.49,7.367,8.30,
2019/09/12,09:04:22,-0.0860,27.642,0.039,0.073,68.746,996.365,-3.634,0.66,0.66,0.63,94.50,7.368,8.30,
2019/09/12,09:04:23,-0.0645,27.516,0.039,0.073,68.848,996.401,-3.599,0.61,0.61,0.38,94.50,7.369,8.31,
2019/09/12,09:04:24,-0.0645,27.381,0.039,0.073,69.075,996.438,-3.562,0.63,0.63,0.55,94.55,7.373,8.31,
2019/09/12,09:04:25,-0.0860,27.308,0.039,0.073,69.139,996.459,-3.541,0.63,0.63,0.60,94.57,7.376,8.31,
2019/09/12,09:04:26,-0.0860,27.266,0.039,0.073,69.154,996.470,-3.529,0.63,0.63,0.60,94.48,7.370,8.31,
2019/09/12,09:04:27,-0.0645,27.273,0.039,0.072,68.932,996.468,-3.531,0.64,0.64,0.60,94.55,7.375,8.30,
2019/09/12,09:04:28,-0.0645,27.297,0.039,0.072,68.931,996.462,-3.538,0.66,0.66,0.59,94.56,7.376,8.30,
2019/09/12,09:04:29,-0.0645,27.318,0.039,0.072,68.936,996.456,-3.544,0.63,0.63,0.58,94.58,7.377,8.29,
2019/09/12,09:04:30,-0.0645,27.339,0.039,0.072,68.891,996.450,-3.550,0.65,0.65,0.58,94.53,7.374,8.31,
2019/09/12,09:04:31,-0.0645,27.359,0.039,0.073,69.031,996.445,-3.555,0.63,0.63,0.58,94.58,7.379,8.29,
2019/09/12,09:04:32,-0.0860,27.320,0.039,0.073,69.141,996.455,-3.544,0.65,0.65,0.56,94.58,7.378,8.31,
2019/09/12,09:04:33,-0.0645,27.375,0.039,0.073,69.018,996.440,-3.560,0.65,0.65,0.61,94.54,7.375,8.30,
2019/09/12,09:04:34,-0.0645,27.419,0.039,0.073,68.934,996.428,-3.572,0.65,0.65,0.69,94.59,7.380,8.31,
2019/09/12,09:04:35,-0.0645,27.427,0.039,0.073,69.059,996.425,-3.574,0.63,0.63,0.67,94.51,7.374,8.30,
2019/09/12,09:04:36,-0.0860,27.491,0.039,0.073,68.869,996.408,-3.592,0.63,0.63,0.68,94.56,7.378,8.31,
2019/09/12,09:04:37,-0.0645,27.537,0.039,0.073,68.839,996.395,-3.605,0.11,0.11,0.00,94.60,7.381,8.31,
2019/09/12,09:04:38,-0.0645,27.558,0.039,0.073,68.821,996.389,-3.611,0.23,0.23,-0.03,94.56,7.378,8.31,
2019/09/12,09:04:39,-0.0645,27.565,0.039,0.073,68.857,996.387,-3.613,0.41,0.41,22.71,94.82,7.399,8.31,
2019/09/12,09:04:40,-0.0645,27.601,0.039,0.073,68.892,996.377,-3.623,0.12,0.12,0.99,94.94,7.408,8.31,
2019/09/12,09:04:41,-0.0645,27.619,0.039,0.073,68.827,996.372,-3.628,0.27,0.27,-0.03,94.88,7.403,8.31,
2019/09/12,09:04:42,-0.0645,27.657,0.039,0.073,68.797,996.361,-3.639,0.26,0.26,0.01,94.57,7.379,8.31,
2019/09/12,09:04:43,-0.0645,27.624,0.039,0.073,68.673,996.370,-3.629,0.10,0.10,0.00,94.57,7.380,8.31,
2019/09/12,09:04:44,-0.0645,27.608,0.039,0.073,68.737,996.375,-3.625,0.29,0.29,-0.03,94.58,7.381,8.30,
2019/09/12,09:04:45,-0.0645,27.568,0.039,0.073,68.799,996.386,-3.614,0.79,0.79,50.85,94.63,7.385,8.30,
2019/09/12,09:04:46,-0.0645,27.475,0.039,0.073,68.926,996.412,-3.588,0.68,0.68,1.68,94.51,7.376,8.30,
2019/09/12,09:04:47,-0.0645,27.493,0.039,0.073,68.989,996.407,-3.593,0.30,0.30,0.04,94.55,7.379,8.30,
2019/09/12,09:04:48,-0.0645,27.511,0.039,0.073,69.056,996.402,-3.598,0.10,0.10,0.00,94.50,7.376,8.31,
2019/09/12,09:04:49,-0.0645,27.516,0.039,0.073,68.958,996.400,-3.599,0.29,0.29,-0.03,94.59,7.383,8.30,
2019/09/12,09:04:50,-0.0645,27.508,0.039,0.073,69.030,996.403,-3.597,0.28,0.28,0.03,94.58,7.382,8.29,
2019/09/12,09:04:51,-0.0645,27.498,0.039,0.073,69.200,996.406,-3.594,0.21,0.21,-0.01,94.59,7.383,8.27,
2019/09/12,09:04:52,-0.0645,27.497,0.039,0.073,69.247,996.406,-3.594,0.31,0.31,0.03,94.67,7.391,8.30,
2019/09/12,09:04:53,-0.0645,27.495,0.039,0.073,69.491,996.407,-3.593,0.13,0.13,-0.33,94.53,7.379,8.31,
2019/09/12,09:04:54,-0.0645,27.441,0.039,0.073,69.294,996.422,-3.578,0.57,0.57,0.46,94.60,7.385,8.31,
2019/09/12,09:04:55,-0.0645,27.454,0.039,0.073,69.515,996.418,-3.582,0.66,0.66,0.78,94.51,7.378,8.31,
2019/09/12,09:04:56,-0.0645,27.476,0.039,0.073,69.447,996.412,-3.588,0.63,0.63,0.51,94.52,7.379,8.30,
2019/09/12,09:04:57,-0.0645,27.480,0.039,0.073,69.288,996.411,-3.589,0.63,0.63,0.86,94.62,7.387,8.30,
2019/09/12,09:04:58,-0.0645,27.363,0.039,0.073,69.235,996.443,-3.556,0.63,0.63,1.96,94.55,7.382,8.31,
2019/09/12,09:04:59,-0.0860,27.380,0.039,0.073,69.259,996.439,-3.561,0.66,0.66,1.00,94.53,7.381,8.30,
2019/09/12,09:05:00,-0.0645,27.446,0.039,0.073,69.203,996.420,-3.579,0.57,0.57,0.87,94.55,7.383,8.31,
2019/09/12,09:05:01,-0.0645,27.450,0.039,0.073,69.132,996.419,-3.581,0.59,0.59,0.54,94.57,7.385,8.30,
2019/09/12,09:05:02,-0.0645,27.439,0.039,0.073,69.217,996.422,-3.578,0.74,0.74,1.45,94.55,7.384,8.30,
2019/09/12,09:05:03,-0.0645,27.481,0.039,0.073,69.052,996.411,-3.589,0.32,0.32,0.03,94.56,7.385,8.30,
2019/09/12,09:05:04,-0.0645,27.574,0.039,0.073,68.997,996.384,-3.615,0.65,0.65,3.53,94.55,7.384,8.30,
2019/09/12,09:05:05,-0.0645,27.667,0.039,0.073,68.923,996.358,-3.641,0.63,0.63,3.66,94.58,7.387,8.31,
2019/09/12,09:05:06,-0.0645,27.679,0.039,0.073,68.899,996.355,-3.645,0.41,0.41,1.24,94.56,7.385,8.30,
2019/09/12,09:05:07,-0.0645,27.627,0.039,0.073,68.897,996.370,-3.630,0.41,0.41,0.05,94.60,7.388,8.31,
2019/09/12,09:05:08,-0.0645,27.638,0.039,0.073,68.823,996.366,-3.633,0.66,0.66,0.81,94.63,7.391,8.31,
2019/09/12,09:05:09,-0.0645,27.592,0.039,0.073,68.729,996.379,-3.621,0.70,0.70,1.69,94.58,7.388,8.31,
2019/09/12,09:05:10,-0.0645,27.587,0.039,0.073,68.789,996.381,-3.619,0.87,0.87,34.22,94.49,7.381,8.29,
2019/09/12,09:05:11,-0.0645,27.672,0.039,0.073,68.598,996.357,-3.643,1.94,1.94,106.79,94.64,7.393,8.30,
2019/09/12,09:05:12,-0.0645,27.765,0.039,0.073,68.531,996.331,-3.669,1.98,1.98,107.01,94.64,7.392,8.30,
2019/09/12,09:05:13,-0.0645,27.795,0.039,0.073,68.520,996.322,-3.678,1.95,1.95,107.05,94.59,7.388,8.28,
2019/09/12,09:05:14,-0.0645,27.785,0.039,0.073,68.535,996.325,-3.675,1.95,1.95,106.91,94.59,7.389,8.32,
2019/09/12,09:05:15,-0.0645,27.798,0.039,0.073,68.564,996.321,-3.678,2.01,2.01,106.95,94.59,7.389,8.31,
2019/09/12,09:05:16,-0.0645,27.712,0.039,0.073,68.735,996.345,-3.654,1.98,1.98,106.98,94.61,7.391,8.31,
2019/09/12,09:05:17,-0.0645,27.688,0.039,0.073,68.950,996.352,-3.647,1.94,1.94,106.94,94.66,7.395,8.30,
2019/09/12,09:05:18,-0.0645,27.727,0.039,0.073,68.952,996.341,-3.658,1.96,1.96,106.77,94.67,7.396,8.30,
2019/09/12,09:05:19,-0.0645,27.657,0.039,0.073,68.992,996.361,-3.638,1.95,1.95,106.09,94.66,7.395,8.30,
2019/09/12,09:05:20,-0.0645,27.661,0.039,0.073,69.081,996.360,-3.640,1.97,1.97,107.04,94.59,7.390,8.30,
2019/09/12,09:05:21,-0.0645,27.736,0.039,0.073,68.859,996.339,-3.661,1.93,1.93,106.79,94.56,7.387,8.30,
2019/09/12,09:05:22,-0.0645,27.866,0.039,0.073,68.711,996.302,-3.698,1.95,1.95,105.91,94.59,7.390,8.29,
2019/09/12,09:05:23,-0.0645,27.977,0.039,0.073,68.686,996.271,-3.729,1.97,1.97,106.33,94.60,7.391,8.31,
2019/09/12,09:05:24,-0.0645,27.963,0.039,0.073,68.609,996.275,-3.725,1.99,1.99,106.21,94.56,7.388,8.30,
2019/09/12,09:05:25,-0.0430,27.870,0.039,0.073,68.608,996.301,-3.699,1.92,1.92,102.88,94.67,7.396,8.29,
2019/09/12,09:05:26,-0.0645,27.819,0.039,0.073,68.589,996.315,-3.684,1.79,1.79,94.41,94.64,7.394,8.30,
2019/09/12,09:05:27,-0.0645,27.767,0.039,0.073,68.522,996.330,-3.670,1.81,1.81,92.42,94.58,7.390,8.28,
2019/09/12,09:05:28,-0.0430,27.775,0.039,0.073,68.524,996.328,-3.672,1.88,1.88,103.89,94.48,7.381,8.30,
2019/09/12,09:05:29,-0.0860,27.772,0.039,0.073,68.549,996.329,-3.671,1.38,1.38,53.69,94.64,7.394,8.30,
2019/09/12,09:05:30,-0.0645,27.902,0.039,0.073,68.477,996.292,-3.708,0.71,0.71,2.00,94.70,7.399,8.30,
2019/09/12,09:05:31,-0.0430,27.869,0.039,0.073,68.487,996.301,-3.699,0.18,0.18,0.04,94.63,7.394,8.30,
2019/09/12,09:05:32,-0.0645,27.856,0.039,0.073,68.520,996.305,-3.695,0.62,0.62,1.10,94.59,7.391,8.28,
2019/09/12,09:05:33,-0.0645,27.876,0.039,0.073,68.538,996.299,-3.700,0.97,0.97,13.31,94.51,7.384,8.30,
2019/09/12,09:05:34,-0.0645,27.844,0.039,0.073,68.563,996.308,-3.692,1.65,1.65,202.61,94.74,7.402,8.29,
2019/09/12,09:05:35,-0.0645,27.809,0.039,0.073,68.654,996.318,-3.682,0.70,0.70,5.69,94.61,7.393,8.30,
2019/09/12,09:05:36,-0.0645,27.790,0.039,0.073,68.604,996.324,-3.676,0.67,0.67,3.71,94.63,7.394,8.30,
2019/09/12,09:05:37,-0.0645,27.718,0.039,0.073,68.448,996.344,-3.656,0.72,0.72,4.61,94.64,7.396,8.30,
2019/09/12,09:05:38,-0.0645,27.671,0.039,0.073,68.611,996.357,-3.643,0.81,0.81,3.80,94.63,7.394,8.32,
2019/09/12,09:05:39,-0.0645,27.720,0.039,0.073,68.554,996.343,-3.657,0.75,0.75,3.21,94.62,7.394,8.30,
2019/09/12,09:05:40,-0.0645,27.726,0.039,0.073,68.604,996.342,-3.658,0.32,0.32,0.03,94.65,7.396,8.29,
2019/09/12,09:05:41,-0.0645,27.770,0.039,0.073,68.518,996.329,-3.670,0.11,0.11,0.08,94.75,7.403,8.30,
2019/09/12,09:05:42,-0.0645,27.791,0.039,0.073,68.432,996.323,-3.677,0.43,0.43,29.02,94.68,7.398,8.32,
2019/09/12,09:05:43,-0.0645,27.735,0.039,0.073,68.619,996.339,-3.661,0.32,0.32,0.08,94.58,7.391,8.30,
2019/09/12,09:05:44,-0.0645,27.745,0.039,0.073,68.626,996.336,-3.663,0.14,0.14,0.04,94.66,7.396,8.30,
2019/09/12,09:05:45,-0.0645,27.768,0.039,0.073,68.512,996.330,-3.670,0.14,0.14,-0.05,94.64,7.396,8.31,
2019/09/12,09:05:46,-0.0430,27.779,0.039,0.073,68.531,996.327,-3.673,0.32,0.32,0.00,94.63,7.394,8.29,
2019/09/12,09:05:47,-0.0645,27.743,0.039,0.073,68.630,996.337,-3.663,0.11,0.11,0.04,94.55,7.388,8.33,
2019/09/12,09:05:48,-0.0645,27.786,0.039,0.073,68.575,996.325,-3.675,0.13,0.13,-0.05,94.63,7.394,8.31,
2019/09/12,09:05:49,-0.0645,27.849,0.039,0.073,68.594,996.307,-3.693,0.21,0.21,0.00,94.66,7.396,8.30,
2019/09/12,09:05:50,-0.0645,27.859,0.039,0.073,68.626,996.304,-3.696,0.11,0.11,0.04,94.65,7.396,8.31,
2019/09/12,09:05:51,-0.0645,27.882,0.039,0.073,68.675,996.298,-3.702,0.08,0.08,0.03,94.61,7.392,8.30,
2019/09/12,09:05:52,-0.0430,27.879,0.039,0.073,68.662,996.299,-3.701,0.23,0.23,0.00,94.67,7.397,8.29,
2019/09/12,09:05:53,-0.0645,27.832,0.039,0.073,68.708,996.312,-3.688,0.32,0.32,-0.01,94.55,7.388,8.30,
2019/09/12,09:05:54,-0.0645,27.838,0.039,0.073,68.711,996.310,-3.690,0.12,0.12,0.03,94.57,7.388,8.29,
2019/09/12,09:05:55,-0.0430,27.885,0.039,0.073,68.667,996.297,-3.703,0.20,0.20,0.00,94.57,7.389,8.30,
2019/09/12,09:05:56,-0.0645,27.799,0.039,0.073,68.843,996.321,-3.679,0.31,0.31,0.04,94.61,7.392,8.29,
2019/09/12,09:05:57,-0.0430,27.770,0.039,0.073,68.798,996.329,-3.671,0.29,0.29,-0.05,94.61,7.392,8.31,
2019/09/12,09:05:58,-0.0645,27.737,0.039,0.073,68.909,996.339,-3.661,0.12,0.12,0.04,94.55,7.387,8.29,
2019/09/12,09:05:59,-0.0430,27.712,0.039,0.073,68.910,996.346,-3.654,0.10,0.10,-0.03,94.54,7.386,8.28,
2019/09/12,09:06:00,-0.0645,27.746,0.039,0.073,68.940,996.336,-3.664,0.33,0.33,0.04,94.57,7.388,8.30,
2019/09/12,09:06:01,-0.0645,27.791,0.039,0.073,68.941,996.323,-3.676,0.32,0.32,-0.01,94.58,7.389,8.30,
2019/09/12,09:06:02,-0.0430,27.839,0.039,0.073,68.894,996.310,-3.690,0.18,0.18,-0.01,94.54,7.386,8.30,
2019/09/12,09:06:03,-0.0430,27.835,0.039,0.073,68.968,996.311,-3.689,0.08,0.08,0.01,94.53,7.384,8.32,
2019/09/12,09:06:04,-0.0645,27.814,0.039,0.073,68.830,996.317,-3.683,0.19,0.19,-0.04,94.60,7.390,8.29,
2019/09/12,09:06:05,-0.0430,27.798,0.039,0.073,68.926,996.321,-3.678,0.32,0.32,-0.03,94.55,7.386,8.31,
2019/09/12,09:06:06,-0.0430,27.811,0.039,0.073,68.850,996.318,-3.682,0.26,0.26,-0.04,94.53,7.385,8.30,
2019/09/12,09:06:07,-0.0645,27.833,0.039,0.073,68.962,996.312,-3.688,0.16,0.16,0.00,94.60,7.390,8.30,
2019/09/12,09:06:08,-0.0430,27.797,0.039,0.073,68.980,996.322,-3.678,0.08,0.08,0.01,94.57,7.387,8.30,
2019/09/12,09:06:09,-0.0430,27.822,0.039,0.073,68.955,996.315,-3.685,0.20,0.20,-0.04,94.54,7.385,8.30,
2019/09/12,09:06:10,-0.0430,27.821,0.039,0.073,69.024,996.315,-3.685,0.32,0.32,0.04,94.50,7.381,8.31,
2019/09/12,09:06:11,-0.0645,27.824,0.039,0.073,69.036,996.314,-3.686,0.32,0.32,-0.03,94.60,7.390,8.28,
2019/09/12,09:06:12,-0.0645,27.819,0.039,0.073,69.093,996.316,-3.684,0.20,0.20,-0.03,94.54,7.385,8.30,
2019/09/12,09:06:13,-0.0430,27.786,0.039,0.073,69.217,996.325,-3.675,0.08,0.08,0.04,94.55,7.385,8.30,
2019/09/12,09:06:14,-0.0430,27.779,0.039,0.073,69.177,996.327,-3.673,0.17,0.17,-0.04,94.42,7.375,8.31,
2019/09/12,09:06:15,-0.0430,27.781,0.039,0.073,69.225,996.326,-3.673,0.30,0.30,0.04,94.48,7.380,8.29,
2019/09/12,09:06:16,-0.0430,27.787,0.039,0.074,69.411,996.325,-3.675,0.33,0.33,0.01,94.45,7.377,8.29,
2019/09/12,09:06:17,-0.0430,27.788,0.039,0.074,69.649,996.324,-3.675,0.20,0.20,-0.04,94.53,7.383,8.29,
2019/09/12,09:06:18,-0.0430,27.782,0.039,0.074,69.676,996.326,-3.674,0.08,0.08,0.04,94.50,7.381,8.30,
2019/09/12,09:06:19,-0.0645,27.779,0.039,0.074,69.632,996.327,-3.673,0.11,0.11,-0.05,94.47,7.377,8.31,
2019/09/12,09:06:20,-0.0430,27.784,0.039,0.074,69.584,996.326,-3.674,0.20,0.20,-0.04,94.37,7.370,8.28,
2019/09/12,09:06:21,-0.0430,27.782,0.039,0.074,69.686,996.326,-3.674,0.32,0.32,0.04,94.36,7.369,8.28,
2019/09/12,09:06:22,-0.0430,27.786,0.039,0.074,69.639,996.325,-3.675,0.32,0.32,-0.03,94.45,7.375,8.30,
2019/09/12,09:06:23,-0.0430,27.803,0.039,0.074,69.639,996.320,-3.679,0.23,0.23,-0.05,94.39,7.372,8.30,
2019/09/12,09:06:24,-0.0430,27.811,0.039,0.074,69.721,996.318,-3.682,0.19,0.19,0.00,94.39,7.371,8.30,
2019/09/12,09:06:25,-0.0645,27.819,0.039,0.074,69.548,996.316,-3.684,0.08,0.08,0.03,94.30,7.364,8.30,
2019/09/12,09:06:26,-0.0430,27.799,0.039,0.074,69.712,996.322,-3.678,0.11,0.11,-0.05,94.34,7.366,8.29,
2019/09/12,09:06:27,-0.0430,27.771,0.039,0.074,69.721,996.329,-3.670,0.23,0.23,-0.01,94.40,7.371,8.31,
2019/09/12,09:06:28,-0.0430,27.741,0.039,0.074,69.546,996.338,-3.662,0.29,0.29,0.03,94.38,7.370,8.30,
2019/09/12,09:06:29,-0.0430,27.747,0.039,0.074,69.567,996.336,-3.664,0.33,0.33,0.01,94.37,7.369,8.31,
2019/09/12,09:06:30,-0.0430,27.755,0.039,0.074,69.609,996.334,-3.666,0.31,0.31,-0.04,94.38,7.370,8.31,
2019/09/12,09:06:31,-0.0430,27.810,0.039,0.074,69.628,996.318,-3.681,0.23,0.23,-0.05,94.44,7.374,8.31,
2019/09/12,09:06:32,-0.0430,27.862,0.039,0.074,69.613,996.304,-3.696,0.17,0.17,-0.01,94.39,7.370,8.28,
2019/09/12,09:06:33,-0.0430,27.886,0.039,0.074,69.605,996.297,-3.703,0.11,0.11,0.04,94.27,7.361,8.29,
2019/09/12,09:06:34,-0.0645,27.843,0.039,0.074,69.566,996.309,-3.691,0.08,0.08,0.04,94.47,7.376,8.30,
2019/09/12,09:06:35,-0.0430,27.839,0.039,0.074,69.609,996.310,-3.690,0.08,0.08,-0.01,94.41,7.372,8.30,
2019/09/12,09:06:36,-0.0430,27.876,0.039,0.074,69.603,996.300,-3.700,0.11,0.11,-0.05,94.35,7.366,8.31,
2019/09/12,09:06:37,-0.0430,27.881,0.039,0.074,69.660,996.298,-3.702,0.17,0.17,-0.05,94.38,7.369,8.29,
2019/09/12,09:06:38,-0.0430,27.876,0.039,0.074,69.679,996.300,-3.700,0.23,0.23,-0.01,94.37,7.367,8.29,
2019/09/12,09:06:39,-0.0430,27.883,0.039,0.074,69.640,996.298,-3.702,0.26,0.26,0.01,94.38,7.369,8.29,
2019/09/12,09:06:40,-0.0430,27.872,0.039,0.074,69.791,996.301,-3.699,0.31,0.31,0.04,94.35,7.366,8.31,
2019/09/12,09:06:41,-0.0430,27.889,0.039,0.074,69.755,996.296,-3.704,0.31,0.31,0.04,94.37,7.367,8.28,
2019/09/12,09:06:42,-0.0645,27.890,0.039,0.074,69.647,996.296,-3.704,0.33,0.33,0.03,94.31,7.362,8.30,
2019/09/12,09:06:43,-0.0430,27.850,0.039,0.074,69.984,996.307,-3.693,0.32,0.32,0.00,94.35,7.365,8.29,
2019/09/12,09:06:44,-0.0215,27.835,0.039,0.074,70.120,996.311,-3.688,0.32,0.32,-0.01,94.35,7.365,8.30,
2019/09/12,09:06:45,-0.0430,27.844,0.039,0.074,70.003,996.309,-3.691,0.31,0.31,-0.04,94.33,7.363,8.28,
2019/09/12,09:06:46,-0.0430,27.855,0.039,0.074,69.913,996.306,-3.694,0.31,0.31,-0.04,94.26,7.358,8.30,
2019/09/12,09:06:47,-0.0430,27.873,0.039,0.074,69.982,996.301,-3.699,0.29,0.29,-0.05,94.30,7.360,8.28,
2019/09/12,09:06:48,-0.0430,27.844,0.039,0.074,69.897,996.309,-3.691,0.26,0.26,-0.06,94.35,7.364,8.30,
2019/09/12,09:06:49,-0.0430,27.803,0.039,0.075,70.234,996.321,-3.679,0.26,0.26,-0.06,94.34,7.363,8.31,
2019/09/12,09:06:50,-0.0430,27.822,0.039,0.075,70.162,996.315,-3.685,0.26,0.26,-0.06,94.31,7.360,8.30,
2019/09/12,09:06:51,-0.0430,27.858,0.039,0.075,70.306,996.305,-3.695,0.24,0.24,-0.05,94.25,7.356,8.29,
2019/09/12,09:06:52,-0.0430,27.894,0.039,0.075,70.152,996.295,-3.705,0.26,0.26,-0.06,94.28,7.357,8.28,
2019/09/12,09:06:53,-0.0430,27.905,0.039,0.075,70.252,996.292,-3.708,0.21,0.21,-0.01,94.25,7.355,8.27,
2019/09/12,09:06:54,-0.0645,27.871,0.039,0.074,70.057,996.301,-3.699,0.29,0.29,-0.05,94.20,7.352,8.30,
2019/09/12,09:06:55,-0.0430,27.862,0.039,0.075,70.178,996.304,-3.696,0.27,0.27,-0.06,94.22,7.352,8.29,
2019/09/12,09:06:56,-0.0430,27.871,0.039,0.075,70.164,996.301,-3.699,0.30,0.30,-0.05,94.22,7.352,8.30,
2019/09/12,09:06:57,-0.0430,27.861,0.039,0.074,69.848,996.304,-3.696,0.31,0.31,-0.04,94.16,7.347,8.28,
2019/09/12,09:06:58,-0.0430,27.872,0.039,0.074,69.992,996.301,-3.699,0.32,0.32,-0.03,94.21,7.351,8.31,
