//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=1750      
StartTime=2022/09/06 09:23:52
EndTime=2022/09/06 09:26:46
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2022/09/06,09:23:52,-0.1935,36.297,0.033,0.065,52.185,993.605,-6.395,0.23,0.23,0.00,92.63,6.324,8.07,6.338,6.338,
2022/09/06,09:23:52,-0.2365,36.286,0.033,0.065,52.193,993.608,-6.391,0.21,0.21,-0.05,92.60,6.321,8.07,6.335,6.335,
2022/09/06,09:23:52,-0.2365,36.283,0.033,0.065,52.194,993.609,-6.390,0.23,0.23,0.00,92.63,6.323,8.09,6.337,6.336,
2022/09/06,09:23:52,-0.2365,36.304,0.033,0.065,52.216,993.602,-6.397,0.20,0.20,0.01,92.49,6.313,8.09,6.328,6.327,
2022/09/06,09:23:52,-0.2365,36.324,0.034,0.065,52.352,993.595,-6.404,0.23,0.23,0.03,92.50,6.315,8.07,6.329,6.328,
2022/09/06,09:23:52,-0.2365,36.335,0.033,0.065,52.088,993.591,-6.408,0.20,0.20,0.01,92.60,6.323,8.11,6.337,6.337,
2022/09/06,09:23:52,-0.2365,36.352,0.033,0.065,52.092,993.585,-6.414,0.23,0.23,0.00,92.54,6.321,8.10,6.335,6.335,
2022/09/06,09:23:52,-0.2365,36.375,0.033,0.065,52.109,993.577,-6.422,0.20,0.20,-0.01,92.63,6.328,8.11,6.342,6.342,
2022/09/06,09:23:52,-0.2365,36.396,0.033,0.065,51.865,993.569,-6.430,0.21,0.21,-0.01,92.64,6.328,8.11,6.342,6.342,
2022/09/06,09:23:52,-0.2365,36.406,0.033,0.065,52.093,993.566,-6.433,0.23,0.23,0.01,92.57,6.322,8.12,6.336,6.336,
2022/09/06,09:23:53,-0.2365,36.420,0.033,0.065,52.099,993.561,-6.438,0.24,0.24,0.03,92.48,6.315,8.12,6.329,6.329,
2022/09/06,09:23:53,-0.2580,36.440,0.033,0.065,52.085,993.554,-6.445,0.20,0.20,0.03,92.54,6.318,8.11,6.333,6.332,
2022/09/06,09:23:53,-0.2365,36.451,0.033,0.065,52.045,993.550,-6.449,0.23,0.23,0.03,92.52,6.316,8.11,6.330,6.329,
2022/09/06,09:23:53,-0.2365,36.463,0.033,0.065,52.034,993.545,-6.453,0.20,0.20,0.01,92.53,6.315,8.13,6.329,6.329,
2022/09/06,09:23:53,-0.2365,36.481,0.033,0.065,51.929,993.539,-6.460,0.22,0.22,0.00,92.50,6.313,8.14,6.327,6.327,
2022/09/06,09:23:53,-0.2365,36.496,0.033,0.065,52.042,993.534,-6.465,0.20,0.20,-0.01,92.42,6.308,8.15,6.322,6.322,
